Artist Name,Artist URI,Track Name,Track URI,Album,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Embed Code
Jaytech,5mpJ1Z8BYEOG0rrdO4a2nG,All In - Rodg Remix,4w8bYnr8Dxt0QEb2NJ3boM,All In (The Remixes),10,0,0.631,0.868,-9.537,0.0346,7.58e-05,0.694,0.0928,0.126,123.986,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: All In - Rodg Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/4w8bYnr8Dxt0QEb2NJ3boM?utm_source=oembed""></iframe>"
Jaytech,5mpJ1Z8BYEOG0rrdO4a2nG,Meant To Be (ABGT526) - Jaytech Remix,6riuavRGqUJfd1YYf8dDcz,Group Therapy 526,2,0,0.665,0.769,-8.736,0.0335,8.15e-05,0.686,0.151,0.128,129.929,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Meant To Be (ABGT526) - Jaytech Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/6riuavRGqUJfd1YYf8dDcz?utm_source=oembed""></iframe>"
Jaytech,5mpJ1Z8BYEOG0rrdO4a2nG,Tachyon,290UNmvruw5yJ4lTCl5Ij5,Tachyon,2,1,0.535,0.764,-7.429,0.0315,0.00181,0.87,0.267,0.109,109.966,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Tachyon"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/290UNmvruw5yJ4lTCl5Ij5?utm_source=oembed""></iframe>"
Jaytech,5mpJ1Z8BYEOG0rrdO4a2nG,Meant To Be - Jaytech Remix,4qUVmZhnWvZCnlP1iYalEI,Meant To Be (Jaytech Remix),0,1,0.726,0.778,-7.21,0.0401,0.00092,0.482,0.123,0.124,130.001,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Meant To Be - Jaytech Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/4qUVmZhnWvZCnlP1iYalEI?utm_source=oembed""></iframe>"
Jaytech,5mpJ1Z8BYEOG0rrdO4a2nG,Meant To Be (ABGT525) - Jaytech Remix,5KNkTYb3RRDIc96VD9uzJA,Group Therapy 525,0,1,0.67,0.762,-8.769,0.0361,8.63e-05,0.726,0.142,0.134,128.013,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Meant To Be (ABGT525) - Jaytech Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/5KNkTYb3RRDIc96VD9uzJA?utm_source=oembed""></iframe>"
Jaytech,5mpJ1Z8BYEOG0rrdO4a2nG,Gray Horizon (feat. Melody Gough),6sOLBGVBnbRxAc6j9AkUqm,Everything Is OK,1,0,0.7,0.794,-4.899,0.0317,1.67e-05,0.886,0.123,0.669,125.002,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Gray Horizon (feat. Melody Gough)"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/6sOLBGVBnbRxAc6j9AkUqm?utm_source=oembed""></iframe>"
Jaytech,5mpJ1Z8BYEOG0rrdO4a2nG,Zulu [ABGT185],0wXelifoD5lX7lXQ7d3fdG,Group Therapy 185,10,0,0.673,0.759,-8.98,0.0287,3.22e-05,0.825,0.081,0.339,129.008,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Zulu [ABGT185]"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0wXelifoD5lX7lXQ7d3fdG?utm_source=oembed""></iframe>"
Jaytech,5mpJ1Z8BYEOG0rrdO4a2nG,Metawave - Jaytech Remix,4cHCMlrB2pu4nka58KhG4C,Metawave (Jaytech Remix),7,1,0.567,0.779,-10.732,0.0332,0.000334,0.606,0.214,0.0715,126.003,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Metawave - Jaytech Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/4cHCMlrB2pu4nka58KhG4C?utm_source=oembed""></iframe>"
Jaytech,5mpJ1Z8BYEOG0rrdO4a2nG,All In - Edit,0M7LAJeo73n4Wltz7Uo1T4,Fatum Presents: 20 Years Of Anjunabeats,0,0,0.508,0.666,-6.562,0.0337,0.00845,0.000169,0.146,0.0771,128.06,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: All In - Edit"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0M7LAJeo73n4Wltz7Uo1T4?utm_source=oembed""></iframe>"
Luminary,2Pmmrbt8wdPdD8o7OnJOVO,Amsterdam - Smith & Pledger Update,2mCw0pneck8UNB7438kQWQ,Anjunabeats Volume 13 Sampler pt. 2,11,1,0.654,0.796,-5.041,0.0375,0.00678,0.00156,0.208,0.165,128.019,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Amsterdam - Smith &amp; Pledger Update"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/2mCw0pneck8UNB7438kQWQ?utm_source=oembed""></iframe>"
Luminary,2Pmmrbt8wdPdD8o7OnJOVO,Amsterdam - Smith & Pledger Remix,3ICChM5ebH2RPZnvXg4uuC,Amsterdam,11,1,0.57,0.658,-8.72,0.0314,0.00786,0.477,0.105,0.41,138.029,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Amsterdam - Smith &amp; Pledger Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/3ICChM5ebH2RPZnvXg4uuC?utm_source=oembed""></iframe>"
Luminary,2Pmmrbt8wdPdD8o7OnJOVO,Amsterdam (Mixed) - Smith & Pledger Remix,6vg69UPdtHynZPX4tH8Jtr,ASOT 1001 - A State Of Trance Episode 1001 (A State Of Trance 1000 - Celebration Mix),11,1,0.562,0.852,-8.431,0.0336,0.00302,0.0364,0.677,0.384,128.994,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Amsterdam (Mixed) - Smith &amp; Pledger Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/6vg69UPdtHynZPX4tH8Jtr?utm_source=oembed""></iframe>"
Luminary,2Pmmrbt8wdPdD8o7OnJOVO,Amsterdam - Super8 & Tab Extended Mix,4MkOeDAyrYMaXBKUI1YhIw,Super8 & Tab Presents: 20 Years Of Anjunabeats,9,1,0.509,0.883,-6.739,0.0346,0.00014,0.836,0.167,0.691,136.981,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Amsterdam - Super8 &amp; Tab Extended Mix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/4MkOeDAyrYMaXBKUI1YhIw?utm_source=oembed""></iframe>"
Luminary,2Pmmrbt8wdPdD8o7OnJOVO,Amsterdam - Smith & Pledger Remix,1nGywFzJHGNqo8x8PdB4dt,Trance Top 1000 - The Best Of,1,0,0.346,0.673,-8.743,0.0332,0.122,0.0944,0.438,0.314,138.042,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Amsterdam - Smith &amp; Pledger Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/1nGywFzJHGNqo8x8PdB4dt?utm_source=oembed""></iframe>"
Luminary,2Pmmrbt8wdPdD8o7OnJOVO,My World - Andy Moor Mix,0OwMHagrx8HWsjoWbRgHky,In Search of Sunrise 4 Mixed by Tiësto (Latin America),10,0,0.592,0.918,-7.926,0.0457,0.0113,0.655,0.142,0.546,131.4,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: My World - Andy Moor Mix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0OwMHagrx8HWsjoWbRgHky?utm_source=oembed""></iframe>"
Luminary,2Pmmrbt8wdPdD8o7OnJOVO,My World - Andy Moor Mix,463rQO31k172arCL9npYuN,My World,10,0,0.707,0.457,-13.673,0.0808,0.00823,0.85,0.0594,0.617,130.0,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: My World - Andy Moor Mix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/463rQO31k172arCL9npYuN?utm_source=oembed""></iframe>"
Luminary,2Pmmrbt8wdPdD8o7OnJOVO,Amsterdam - Grum Remix,2Ncfsr2YmeAiMEdLeIfFpD,Amsterdam (Grum Remix),9,1,0.629,0.714,-6.436,0.0303,0.00266,0.816,0.0457,0.143,125.992,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Amsterdam - Grum Remix"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/2Ncfsr2YmeAiMEdLeIfFpD?utm_source=oembed""></iframe>"
Luminary,2Pmmrbt8wdPdD8o7OnJOVO,Amsterdam Cairo - Above & Beyond Extended Bootleg,0wC3W3CeWbXruBRAqAY95l,Jason Ross Presents: 20 Years Of Anjunabeats,1,0,0.536,0.804,-7.463,0.0595,0.015,0.056,0.379,0.28,127.975,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Amsterdam Cairo - Above &amp; Beyond Extended Bootleg"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/0wC3W3CeWbXruBRAqAY95l?utm_source=oembed""></iframe>"
Luminary,2Pmmrbt8wdPdD8o7OnJOVO,Amsterdam [ABGT221] - Smith & Pledger Update,3b5C12I3iLyviNyAeqPVP3,Group Therapy 221,11,1,0.63,0.76,-8.487,0.0475,0.00352,0.000836,0.841,0.177,128.046,"<iframe style=""border-radius: 12px"" width=""100%"" height=""152"" title=""Spotify Embed: Amsterdam [ABGT221] - Smith &amp; Pledger Update"" frameborder=""0"" allowfullscreen allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy"" src=""https://open.spotify.com/embed/track/3b5C12I3iLyviNyAeqPVP3?utm_source=oembed""></iframe>"
